date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF
2009-05-01,1200,13,55,11,17,21,NNE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,34.0,10.0,6.0,1021.0,31.0,5.0,13.0,56.0,-2.0,28.0,12.0,53.0,12.0,19.0,12.0,53.0
2009-05-02,0,1,34,3,5,27,NNE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,63.0,10.0,6.0,1024.0,31.0,0.0,7.0,44.0,0.0,32.0,6.0,43.0,4.0,6.0,6.0,43.0
2009-05-02,1200,16,61,7,11,315,NW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,38.0,10.0,6.0,1023.0,31.0,4.0,17.0,63.0,3.0,37.0,17.0,63.0,8.0,12.0,17.0,63.0
2009-05-03,0,5,41,4,7,306,NW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,58.0,10.0,6.0,1022.0,31.0,8.0,7.0,44.0,-1.0,30.0,5.0,42.0,9.0,14.0,5.0,42.0
2009-05-03,1200,21,70,3,5,293,WNW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,30.0,10.0,6.0,1020.0,31.0,6.0,24.0,74.0,4.0,40.0,23.0,73.0,4.0,6.0,23.0,73.0
2009-05-04,0,8,46,6,10,238,WSW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,52.0,10.0,6.0,1018.0,31.0,7.0,9.0,49.0,0.0,32.0,8.0,46.0,13.0,20.0,8.0,46.0
2009-05-04,1200,23,74,3,5,226,SW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,25.0,10.0,6.0,1015.0,30.0,4.0,25.0,76.0,4.0,39.0,25.0,78.0,4.0,6.0,25.0,76.0
2009-05-05,0,10,49,5,8,223,SW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,56.0,10.0,6.0,1014.0,30.0,17.0,11.0,51.0,2.0,36.0,10.0,50.0,10.0,16.0,10.0,50.0
2009-05-05,1200,23,73,7,12,199,SSW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,29.0,10.0,6.0,1010.0,30.0,23.0,24.0,74.0,4.0,40.0,23.0,73.0,9.0,14.0,24.0,74.0
2009-05-06,0,13,55,5,9,192,SSW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,48.0,10.0,6.0,1010.0,30.0,25.0,14.0,56.0,3.0,37.0,13.0,56.0,11.0,18.0,13.0,56.0
2009-05-06,1200,20,67,8,13,168,SSE,200,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0016_thundery_showers.png,Thundery outbreaks possible,0.0,0.0,47.0,9.0,5.0,1007.0,30.0,56.0,20.0,68.0,8.0,47.0,20.0,68.0,11.0,17.0,20.0,68.0
2009-05-07,0,9,48,7,12,155,SSE,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.0,0.0,56.0,10.0,6.0,1007.0,30.0,64.0,9.0,48.0,1.0,33.0,7.0,45.0,13.0,21.0,7.0,45.0
2009-05-07,1200,15,60,2,3,23,NNE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,63.0,10.0,6.0,1005.0,30.0,46.0,16.0,61.0,9.0,48.0,16.0,61.0,2.0,3.0,16.0,61.0
2009-05-08,0,6,44,2,4,297,WNW,143,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,95.0,2.0,1.0,1010.0,30.0,46.0,7.0,45.0,7.0,44.0,7.0,45.0,5.0,8.0,7.0,45.0
2009-05-08,1200,19,66,4,6,328,NNW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,48.0,10.0,6.0,1014.0,30.0,46.0,19.0,67.0,8.0,46.0,19.0,67.0,4.0,7.0,19.0,67.0
2009-05-09,0,6,43,1,1,10,N,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,89.0,10.0,6.0,1017.0,30.0,14.0,8.0,46.0,6.0,43.0,8.0,46.0,2.0,3.0,8.0,46.0
2009-05-09,1200,22,72,3,5,320,NW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,32.0,10.0,6.0,1016.0,30.0,13.0,24.0,75.0,6.0,43.0,24.0,74.0,3.0,5.0,24.0,75.0
2009-05-10,0,9,48,3,5,240,WSW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,69.0,10.0,6.0,1017.0,31.0,9.0,11.0,51.0,5.0,41.0,10.0,51.0,7.0,11.0,10.0,51.0
2009-05-10,1200,21,69,6,10,340,NNW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,51.0,10.0,6.0,1019.0,31.0,31.0,24.0,76.0,11.0,51.0,21.0,70.0,7.0,12.0,21.0,70.0
2009-05-11,0,9,48,4,6,72,ENE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,86.0,10.0,6.0,1019.0,31.0,11.0,11.0,51.0,8.0,47.0,10.0,50.0,8.0,14.0,10.0,50.0
2009-05-11,1200,21,69,3,5,217,SW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,50.0,10.0,6.0,1016.0,30.0,45.0,24.0,76.0,11.0,51.0,21.0,71.0,5.0,7.0,21.0,71.0
2009-05-12,0,14,58,5,8,162,SSE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,60.0,10.0,6.0,1012.0,30.0,25.0,15.0,59.0,7.0,45.0,15.0,59.0,10.0,16.0,15.0,59.0
2009-05-12,1200,17,63,2,4,282,WNW,200,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0016_thundery_showers.png,Thundery outbreaks possible,0.0,0.0,78.0,9.0,5.0,1009.0,30.0,100.0,18.0,64.0,14.0,57.0,18.0,64.0,4.0,6.0,18.0,64.0
2009-05-13,0,12,53,5,8,158,SSE,200,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0032_thundery_showers_night.png,Thundery outbreaks possible,0.0,0.0,88.0,9.0,5.0,1003.0,30.0,100.0,12.0,54.0,11.0,51.0,12.0,53.0,10.0,15.0,12.0,53.0
